person_name,expense_date,payment_account,merchant_name,merchant_description_text,actual_expense_amount,budgeted_expense_amount,expense_description_text,expense_category,account_running_balance,adjusted_actual_amount,adjusted_budgeted_amount,calculation_complexity_score,calculation_type,requires_manual_review,calculation_notes,source_system,source_file,processing_timestamp,data_version,normalization_method,expense_uuid,fiscal_year,fiscal_month,fiscal_quarter,is_complex_calculation,has_allocation_adjustment,is_split_transaction,is_complete_record,data_quality_score
Ryan,9/14/2023,Mercury,Baldur's Gate 3,,84.39,84.39,Looking into overcharge possibility,,,84.39,84.39,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000001,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/23/2023,Mercury,Walgreens,,13.1,,,,,13.1,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000002,2023,9,3,FALSE,FALSE,FALSE,TRUE,20
Ryan,9/23/2023,Mercury,Walgreens,,22.99,22.99,"Hand sanitizer, Prosecco",,,22.99,22.99,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000003,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/23/2023,Mercury,Walgreens,,44.98,20,"Astroglide, Milk Thistle",,,44.98,20,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000004,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/24/2023,Mercury,Walgreens,,38.88,,"Milk Thistle, Deodorant",,,38.88,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000005,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/24/2023,Mercury,Walgreens,,20.45,20.45,"Laundry detergent, tissue",,,20.45,20.45,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000006,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/24/2023,Mercury,Oklahoma Toll,,11.2,22.4,100% Jordyn (2x to calculate appropriately),,,11.2,22.4,7,allocation_multiplier,FALSE,Contains allocation multiplier (2x calculation); Contains allocation multiplier (2x calculation); Contains percentage allocation: 100% Jordyn; Contains percentage allocation: 100% Jordyn; Mathematical operation: (2x to calculate appropriately),expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000007,2023,9,3,TRUE,TRUE,FALSE,TRUE,60
Ryan,9/9/2023,Wells Fargo Everyday Checking x3850,Kimmyz Tatum,,56.5,56.5,,,,56.5,56.5,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000008,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/9/2023,Wells Fargo,Tocaya,,39.86,39.86,,,,39.86,39.86,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000009,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/9/2023,Wells Fargo,Walmart,,56.64,,,,,56.64,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000010,2023,9,3,FALSE,FALSE,FALSE,TRUE,20
Ryan,9/15/2023,Wells Fargo,CB & CB,,40,40,,,,40,40,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000011,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/15/2023,Wells Fargo,Lings,,27.56,,,,,27.56,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000012,2023,9,3,FALSE,FALSE,FALSE,TRUE,20
Ryan,9/22/2023,Wells Fargo,NYPD Pizza,,51.81,51.81,,,,51.81,51.81,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000013,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/23/2023,Wells Fargo,Mastro's,,170.63,170.63,"$85.31 (Birthday present portion, 2x to calculate)",,,170.63,170.63,6,gift_present,FALSE,"Contains allocation multiplier (2x calculation); Contains allocation multiplier (2x calculation); Gift/present allocation: Birthday present portion; Mathematical operation: (Birthday present portion, 2x to calculate)",expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000014,2023,9,3,TRUE,TRUE,FALSE,TRUE,60
Ryan,9/23/2023,Wells Fargo,Postino,,58.29,58.29,,,,58.29,58.29,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000015,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/25/2023,Wells Fargo,Walmart,,59.75,,,,,59.75,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000016,2023,9,3,FALSE,FALSE,FALSE,TRUE,20
Ryan,9/16/2023,Capital One Quicksilver,DoorDash,,65.59,30,Wine $30,,,65.59,30,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000017,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/18/2023,Capital One Quicksilver,DoorDash,,21,,Poke Bowl,,,21,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000018,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/18/2023,Capital One Quicksilver,DoorDash,,67.5,67.5,"Groceries (Water, Wine, Waterloo, etc.)",,,67.5,67.5,1,simple,FALSE,"Mathematical operation: (Water, Wine, Waterloo, etc.)",expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000019,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/18/2023,Capital One Quicksilver,DoorDash,,24.78,,"Gatore, Chicken Broth, etc.",,,24.78,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000020,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/21/2023,Capital One Quicksilver,DoorDash,,61.28,61.28,Wine & Water,,,61.28,61.28,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000021,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/27/2023,Capital One Quicksilver,DoorDash,,53.72,53.72,"Groceries, water, etc.",,,53.72,53.72,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000022,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,9/23/2023,Capital One Savor One,Fry's,,56.76,56.76,,,,56.76,56.76,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000023,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
