month,base_rent,garage_fee,trash_fee,courtesy_fee,utility_fee,gross_total,ryan_amount,jordyn_amount,normalized_date,data_source,record_id
Jan-24,1946.0,100.0,29.0,15.0,29.72,2119.72,911.48,1208.24,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,1
Feb-24,1946.0,100.0,29.0,15.0,106.4,2196.4,944.45,1251.95,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,2
Mar-24,1946.0,101.0,30.0,16.0,84.81,2177.81,936.46,1241.35,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,3
Apr-24,1946.0,100.0,29.0,15.0,86.58,2179.58,937.22,1242.36,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,4
May-24,1946.0,100.0,29.0,15.0,69.41,2159.41,928.55,1230.86,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,5
Jun-24,1946.0,100.0,29.0,15.0,83.85,2173.85,934.76,1239.09,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,6
Jul-24,1946.0,100.0,29.0,15.0,85.81,2175.81,935.6,1240.21,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,7
Aug-24,1946.0,100.0,29.0,15.0,75.94,2165.94,931.35,1234.5858,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,8
Sep-24,1946.0,100.0,29.0,15.0,75.18,2165.18,931.03,1234.1526,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,9
Oct-24,1946.0,100.0,29.0,15.0,75.18,2165.18,931.03,1234.1526,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,10
Nov-24,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,11
Dec-24,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,12
Jan-25,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,13
Feb-25,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,14
Mar-25,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,15
Apr-25,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,16
May-25,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,17
Jun-25,1946.0,100.0,29.0,15.0,,2090.0,898.7,1191.3,2025-07-17T22:07:40.657674,Consolidated_Rent_Allocation_20250527.csv,18
