period_month,base_rent_amount,garage_fee_amount,waste_management_fee,courtesy_fee_amount,utility_service_fee,total_rent_amount,ryan_allocation_amount,jordyn_allocation_amount,source_system,source_file,processing_timestamp,data_version,normalization_method,record_uuid,fiscal_year,fiscal_quarter
2024-01-01,1946.00,100.00,29.00,15.00,29.72,2119.72,911.48,1208.24,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0001,2024,1
2024-02-01,1946.00,100.00,29.00,15.00,106.40,2196.40,944.45,1251.95,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0002,2024,1
2024-03-01,1946.00,101.00,30.00,16.00,84.81,2177.81,936.46,1241.35,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0003,2024,1
2024-04-01,1946.00,100.00,29.00,15.00,86.58,2179.58,937.22,1242.36,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0004,2024,2
2024-05-01,1946.00,100.00,29.00,15.00,69.41,2159.41,928.55,1230.86,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0005,2024,2
2024-06-01,1946.00,100.00,29.00,15.00,83.85,2173.85,934.76,1239.09,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0006,2024,2
2024-07-01,1946.00,100.00,29.00,15.00,85.81,2175.81,935.60,1240.21,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0007,2024,3
2024-08-01,1946.00,100.00,29.00,15.00,75.94,2165.94,931.35,1234.59,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0008,2024,3
2024-09-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0009,2024,3
2024-10-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0010,2024,4
2024-11-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0011,2024,4
2024-12-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0012,2024,4
2025-01-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0013,2025,1
2025-02-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0014,2025,1
2025-03-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0015,2025,1
2025-04-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0016,2025,2
2025-05-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0017,2025,2
2025-06-01,1946.00,100.00,29.00,15.00,75.18,2165.18,931.03,1234.15,rent_allocation_csv,Consolidated_Rent_Allocation_20250527.csv,2025-07-18T00:14:50.744221,1.0,industry_standard_v2,rent_alloc_0018,2025,2
