Month,Tax Base Rent,Tax Garage,Tax Trash,Tax Courtesy,Conservice,Gross Total,Ryan's Rent (43%),Jordyn's Rent (57%)
24-Jan,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$29.72 ,"$2,119.72 ",$911.48 ,"$1,208.24 "
24-Feb,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$106.40 ,"$2,196.40 ",$944.45 ,"$1,251.95 "
24-Mar,"$1,946.00 ",$101.00 ,$30.00 ,$16.00 ,$84.81 ,"$2,177.81 ",$936.46 ,"$1,241.35 "
24-Apr,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$86.58 ,"$2,179.58 ",$937.22 ,"$1,242.36 "
24-May,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$69.41 ,"$2,159.41 ",$928.55 ,"$1,230.86 "
24-Jun,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$83.85 ,"$2,173.85 ",$934.76 ,"$1,239.09 "
24-Jul,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$85.81 ,"$2,175.81 ",$935.60 ,"$1,240.21 "
24-Aug,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.94 ,"$2,165.94 ",$931.35 ,1234.5858
24-Sep,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
24-Oct,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
24-Nov,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
24-Dec,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
25-Jan,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
25-Feb,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
25-Mar,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
25-Apr,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
25-May,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
25-Jun,"$1,946.00 ",$100.00 ,$29.00 ,$15.00 ,$75.18 ,"$2,165.18 ",$931.03 ,1234.1526
