person_name,expense_date,payment_account,merchant_name,merchant_description_text,actual_expense_amount,budgeted_expense_amount,expense_description_text,expense_category,account_running_balance,adjusted_actual_amount,adjusted_budgeted_amount,calculation_complexity_score,calculation_type,requires_manual_review,calculation_notes,source_system,source_file,processing_timestamp,data_version,normalization_method,expense_uuid,fiscal_year,fiscal_month,fiscal_quarter,is_complex_calculation,has_allocation_adjustment,is_split_transaction,is_complete_record,data_quality_score
Ryan,2023-09-14,Mercury,Baldur's Gate 3,,84.39,84.39,Looking into overcharge possibility,,,84.39,84.39,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000001,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-23,Mercury,Walgreens,,13.10,,,,,13.10,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000002,2023.00,9.00,3.00,False,False,False,True,20
Ryan,2023-09-23,Mercury,Walgreens,,22.99,22.99,"Hand sanitizer, Prosecco",,,22.99,22.99,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000003,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-23,Mercury,Walgreens,,44.98,20.00,"Astroglide, Milk Thistle",,,44.98,20.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000004,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-24,Mercury,Walgreens,,38.88,,"Milk Thistle, Deodorant",,,38.88,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000005,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-24,Mercury,Walgreens,,20.45,20.45,"Laundry detergent, tissue",,,20.45,20.45,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000006,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-24,Mercury,Oklahoma Toll,,11.20,22.40,100% Jordyn (2x to calculate appropriately),,,11.20,22.40,7.00,allocation_multiplier,False,Contains allocation multiplier (2x calculation); Contains allocation multiplier (2x calculation); Contains percentage allocation: 100% Jordyn; Contains percentage allocation: 100% Jordyn; Mathematical operation: (2x to calculate appropriately),expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000007,2023.00,9.00,3.00,True,True,False,True,60
Ryan,2023-09-09,Wells Fargo Everyday Checking x3850,Kimmyz Tatum,,56.50,56.50,,,,56.50,56.50,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000008,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-09,Wells Fargo,Tocaya,,39.86,39.86,,,,39.86,39.86,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000009,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-09,Wells Fargo,Walmart,,56.64,,,,,56.64,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000010,2023.00,9.00,3.00,False,False,False,True,20
Ryan,2023-09-15,Wells Fargo,CB & CB,,40.00,40.00,,,,40.00,40.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000011,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-15,Wells Fargo,Lings,,27.56,,,,,27.56,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000012,2023.00,9.00,3.00,False,False,False,True,20
Ryan,2023-09-22,Wells Fargo,NYPD Pizza,,51.81,51.81,,,,51.81,51.81,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000013,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-23,Wells Fargo,Mastro's,,170.63,170.63,"$85.31 (Birthday present portion, 2x to calculate)",,,170.63,170.63,6.00,gift_present,False,"Contains allocation multiplier (2x calculation); Contains allocation multiplier (2x calculation); Gift/present allocation: Birthday present portion; Mathematical operation: (Birthday present portion, 2x to calculate)",expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000014,2023.00,9.00,3.00,True,True,False,True,60
Ryan,2023-09-23,Wells Fargo,Postino,,58.29,58.29,,,,58.29,58.29,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000015,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-25,Wells Fargo,Walmart,,59.75,,,,,59.75,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000016,2023.00,9.00,3.00,False,False,False,True,20
Ryan,2023-09-16,Capital One Quicksilver,DoorDash,,65.59,30.00,Wine $30,,,65.59,30.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000017,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-18,Capital One Quicksilver,DoorDash,,21.00,,Poke Bowl,,,21.00,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000018,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-18,Capital One Quicksilver,DoorDash,,67.50,67.50,"Groceries (Water, Wine, Waterloo, etc.)",,,67.50,67.50,1.00,simple,False,"Mathematical operation: (Water, Wine, Waterloo, etc.)",expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000019,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-18,Capital One Quicksilver,DoorDash,,24.78,,"Gatore, Chicken Broth, etc.",,,24.78,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000020,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-21,Capital One Quicksilver,DoorDash,,61.28,61.28,Wine & Water,,,61.28,61.28,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000021,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-27,Capital One Quicksilver,DoorDash,,53.72,53.72,"Groceries, water, etc.",,,53.72,53.72,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000022,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-23,Capital One Savor One,Fry's,,56.76,56.76,,,,56.76,56.76,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000023,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-23,Capital One Savor One,Fry's,,24.53,24.53,,,,24.53,24.53,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000024,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-26,Capital One Savor One,Fry's,,2.29,2.29,,,,2.29,2.29,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000025,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-26,Capital One Savor One,Fry's,,39.93,39.93,,,,39.93,39.93,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000026,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-09,Apple,Bro,,80.00,80.00,,,,80.00,80.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000027,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-11,Apple,Bro,,225.00,225.00,,,,225.00,225.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000028,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-17,Apple,Bro,,225.00,225.00,,,,225.00,225.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000029,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-24,Apple,Bro,,225.00,225.00,,,,225.00,225.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000030,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-28,Apple,Bro,,235.00,,,,,235.00,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000031,2023.00,9.00,3.00,False,False,False,True,20
Ryan,2023-09-16,Zelle,Ethan,,220.00,220.00,,,,220.00,220.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000032,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-29,Zelle,Francisco,,200.00,200.00,,,,200.00,200.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000033,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-09,Wells Fargo,Kodo Sushi,,90.00,90.00,,,,90.00,90.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000034,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-10,Wells Fargo,Taste of Gilbert,,35.81,35.81,,,,35.81,35.81,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000035,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-11,Wells Fargo,Frys,,274.82,274.82,,,,274.82,274.82,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000036,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-13,Wells Fargo,Whole Foods,,25.50,25.50,,,,25.50,25.50,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000037,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-15,Wells Fargo,CB & CB,,40.00,40.00,,,,40.00,40.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000038,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-18,Wells Fargo,Frys,,298.08,298.08,,,,298.08,298.08,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000039,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-18,Wells Fargo,Lings,,35.56,,,,,35.56,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000040,2023.00,9.00,3.00,False,False,False,True,20
Jordyn,2023-09-19,Wells Fargo,Five Guys,,32.00,32.00,,,,32.00,32.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000041,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-20,Wells Fargo,Sprouts,,49.42,49.42,,,,49.42,49.42,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000042,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-25,Wells Fargo,Frys,,271.10,271.10,,,,271.10,271.10,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000043,2023.00,9.00,3.00,False,False,False,True,40
Jordyn,2023-09-24,Wells Fargo,Tixr,,201.22,201.22,,,,201.22,201.22,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000044,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-24,Mercury,Walgreens,,18.70,18.70,"Tide, Arm & Hammer, Puff",,,18.70,18.70,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000045,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-24,Mercury,Walgreens,,32.88,,"MIlk Thistle, Deodorant",,,32.88,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000046,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-24,Mercury,Oklahoma Tolls,,11.20,22.40,Jordyn Tolls,,,11.20,22.40,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000047,2023.00,9.00,3.00,False,False,False,True,60
Ryan,2023-09-27,Mercury,Amazon,,23.61,,3 Ring Binder,,,23.61,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000048,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-28,Mercury,Amazon,,47.97,,"CoQ10, Flaxseed",,,47.97,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000049,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-28,Mercury,Amazon,,21.58,,L-Theanine,,,21.58,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000050,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-09-30,Mercury,Amazon,,13.10,,Refund,,,13.10,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000051,2023.00,9.00,3.00,False,False,False,True,40
Ryan,2023-10-02,Mercury,Amazon,,11.87,11.87,Rapid Strips,,,11.87,11.87,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000052,2023.00,10.00,4.00,False,False,False,True,60
Ryan,2023-10-03,Mercury,Public Storage,,125.46,,Itemized on Monthly Budget,,,125.46,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000053,2023.00,10.00,4.00,False,False,False,True,40
Ryan,2023-10-03,Mercury,Amazon,,22.57,,Tests,,,22.57,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000054,2023.00,10.00,4.00,False,False,False,True,40
Ryan,2023-10-10,Mercury,Amazon,,86.39,,Refund,,,86.39,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000055,2023.00,10.00,4.00,False,False,False,True,40
Ryan,2023-10-13,Mercury,Amazon,,150.00,,Refund,,,150.00,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000056,2023.00,10.00,4.00,False,False,False,True,40
Ryan,2023-10-13,Mercury,Amazon,,50.00,,Refund,,,50.00,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000057,2023.00,10.00,4.00,False,False,False,True,40
Ryan,2023-10-13,Mercury,Walmart,,34.46,34.46,Ink,,,34.46,34.46,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000058,2023.00,10.00,4.00,False,False,False,True,60
Ryan,2023-10-17,Mercury,Amazon,,1185.30,600.00,TV,,,1185.30,600.00,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000059,2023.00,10.00,4.00,False,False,False,True,60
Ryan,2023-10-18,Mercury,Amazon,,5.93,,Brush,,,5.93,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000060,2023.00,10.00,4.00,False,False,False,True,40
Ryan,2023-10-18,Mercury,Amazon,,15.55,,Retainer Brite Tablets,,,15.55,,0.00,simple,False,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3.0,advanced_calculations_v3,exp_v3_000061,2023.00,10.00,4.00,False,False,False,True,40
